strain	virus	date	region	country	gisaid_epi_isl
DR0164	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0165	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0166	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0167	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0168	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0169	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0170	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0171	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0172	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0173	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0174	ncov	2020-11-24	Caribbean	Dominican Republic	NA
DR0175	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0176	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0177	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0178	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0179	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0180	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0181	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0182	ncov	2020-11-25	Caribbean	Dominican Republic	NA
DR0183	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0184	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0185	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0186	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0187	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0188	ncov	2020-11-26	Caribbean	Dominican Republic	NA
DR0189	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0190	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0191	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0192	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0193	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0194	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0195	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0196	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0197	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0198	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0199	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0200	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0201	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0202	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0203	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0204	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0205	ncov	2020-11-27	Caribbean	Dominican Republic	NA
DR0206	ncov	2020-11-30	Caribbean	Dominican Republic	NA
DR0207	ncov	2020-12-01	Caribbean	Dominican Republic	NA
DR0208	ncov	2020-12-01	Caribbean	Dominican Republic	NA
DR0209	ncov	2020-12-02	Caribbean	Dominican Republic	NA
DR0210	ncov	2020-12-02	Caribbean	Dominican Republic	NA
DR0001	ncov	2020-12-03	Caribbean	Dominican Republic	NA
DR0211	ncov	2020-12-04	Caribbean	Dominican Republic	NA
DR0212	ncov	2020-12-04	Caribbean	Dominican Republic	NA
